TP63 (human)	141.1606	78.80435779600009
NFE2L2 (human)	105.82420616658997	47.28445827018699
MZF1 (human)	137.1898	78.49032918748651
POU2F1 (human)	137.60852170434086	78.61805858212307
IRF1 (human)	74.00262697022767	24.228787499831434
YY1 (human)	131.214	77.01011754308655
SNAI2 (human)	139.4606	78.2604015300202
FOS (human)	139.3796	78.11634338497922
POU1F1 (human)	137.8626	78.41291552569636
HIF1A (human)	139.1758	78.46541718719145
RORB (human)	143.4362725450902	78.42993533368976
INSM1 (human)	63.44270323212537	21.537883125756917
WT1 (human)	126.1448	77.20149372233686
EIF4EBP1 (human)	137.60561532406192	69.21201391805873
FOXO3 (human)	125.30150402238544	58.95781984010473
TEAD4 (human)	135.43197278911563	77.8657800707862
NR1H2 (human)	149.9809563237425	77.17002689328518
RREB1 (human)	63.53281096963761	21.543617938522225
NR1I2 (human)	139.39447889577914	77.72204681321575
CBFB (human)	146.19345118521494	78.156615523718
CTCF (human)	63.51028403525955	21.609324854869516
REST (human)	63.614103819784525	21.74101764166066
TEAD2 (human)	137.405	78.29829484094797
BCL6 (human)	134.7482	78.77300804691932
RXRA (human)	139.8059223689476	78.944124663379
SMAD3 (human)	65.53568564554932	28.425653418072997
MYC (human)	139.5664	78.30120044443764
TEAD1 (human)	136.336	77.35181383781511
HNF1A (human)	134.4588	77.93883436747049
NKX3-1 (human)	147.43384690633405	71.73678545063859
PPARA (human)	145.6377708978328	73.24731624999653
GABPA (human)	110.98300604229607	54.13735131941849
MYOG (human)	136.97919583916783	77.61163495539546
CACYBP (human)	138.74974994999	78.5021356683905
USF2 (human)	121.1912	76.16558174503781
SRF (human)	123.252	75.90408747887031
Pax6 (human)	134.5486725663717	64.31800481261591
NHLH1 (human)	63.4818805093046	21.607370663335765
RARA (human)	138.9146	77.40742410673542
THRA (human)	143.69547714894625	75.11533224605765
FOXA3 (human)	140.0123781933105	69.45367607562177
NFATC3 (human)	114.62495466086325	57.10671974800318
VDR (human)	102.55226558995065	48.36667911638932
ELF3 (human)	135.402	77.66072621344709
TBP (human)	125.9646	77.8653000176588
ATF1 (human)	143.9234404536862	73.53800181820765
SP3 (human)	139.00180036007202	78.31237681511043
JDP2 (human)	138.2058	78.36165545954205
NR2C2 (human)	87.74791782343142	39.349722249836496
GATA1 (human)	130.051	78.3614599085546
FOXA2 (human)	101.73112518265953	45.2906594021306
MIB2 (human)	133.1234	78.26248253435361
NR2F1 (human)	143.52844551282053	77.31917485221335
TLX1::NFIC (human)	73.48212728857891	24.176847413102827
HMGA1 (human)	139.53150630126026	78.52242808200664
CRTC3 (human)	144.71786143372046	79.17749670539902
MYCN (human)	64.72252964426877	27.46308493081405
NR5A1 (human)	137.0326	78.27636895794285
NR5A2 (human)	121.3828	76.91537859336076
TFAP2A (human)	136.3124	76.00695235463665
RORA_2 (human)	76.73731587561375	27.06693948510019
NFAT2 (human)	139.004	79.40754614014966
RXR::RAR_DR5 (human)	63.5896180215475	21.61516883922301
MIR210 (human)	90.32575757575758	40.264748137892255
POU2F2 (human)	128.7112	77.21665231386308
SREBF2 (human)	138.1704	77.85772257033975
NRF1 (human)	137.7694	78.45456662068821
PPARG (human)	123.022	75.88409527694176
ETV4 (human)	136.73394678935787	78.11537385286206
IRF9 (human)	79.47542997542998	35.24988034899631
PDX1 (human)	77.10917312661499	34.58841187836156
SP4 (human)	64.28355957767722	27.513350408080495
SNAI1 (human)	139.5114	78.27120715844346
TFAP2D (human)	138.9978	78.24161677240606
HLF (human)	89.00760193503801	33.09798771621872
KLF5 (human)	138.1424	78.82128216566882
SPIB (human)	153.695494770716	76.38185417124774
ZNF148 (human)	136.068	77.7832229725666
ELK1 (human)	137.4558	77.28914313381924
CREM (human)	146.80565656565656	79.01006078580743
XBP1 (human)	151.1092607636068	78.72212182741262
RXRA::VDR (human)	63.60137120470127	21.4659778663672
KLF4 (human)	134.9918	77.7880616339037
FOXO3A (human)	146.02689143086494	78.19822858192533
ARNT (human)	142.6224	78.29436134384127
LOC135440 (human)	140.6847879083374	72.86069579948824
IRF2 (human)	137.93618723744748	77.23388338866825
RUNX1 (human)	122.9142	76.66129165595801
E2F4 (human)	146.36807200378968	73.87261305625965
MIR138 (human)	140.3097238895558	78.947210047433
PRDM1 (human)	138.4338	79.10555996616183
GATA2 (human)	136.6222	76.3015063230077
EGR1 (human)	144.9686298320178	78.44498900416258
CBEPA (human)	138.51970394078816	79.18012793854543
ZNF281 (human)	143.99419651791075	77.61923610696071
POU3F1 (human)	129.6727648273827	64.66770064488337
ZNF354C (human)	152.6132	76.36848293478141
NFE2L1 (human)	86.36269146608315	38.654649296440994
RELB (human)	137.439	78.7452035301199
CPEB1 (human)	73.42568093385214	28.515162906546966
PITX1 (human)	138.02920584116822	77.83172041353036
CREB1 (human)	127.656	77.11970995796084
KLF13 (human)	136.96779355871175	78.68935103141811
PURA (human)	148.85306881587104	78.70016099313084
PGR (human)	136.97999199679873	77.96947155930994
REL (human)	148.99890182297386	74.40585215965815
CBX5 (human)	62.90384615384615	26.13487563271606
MAX (human)	136.6088	77.01941678927463
NR1H3 (human)	139.7392	76.92347875232893
SPI1 (human)	141.3462	76.67152238973738
NR3C1 (human)	134.8362	79.75265869900511
RORA_1 (human)	115.9348508634223	53.23850833483915
JUN (human)	126.5624	76.74468650167256
GTF2I (human)	142.76530108588352	72.5819171642842
NKX2-8 (human)	141.82056788356002	74.13001190803398
NCOA1 (human)	97.19145802650958	44.86311111607268
FOXF2 (human)	138.9436	76.2984535822319
