TK,ABL,ABL1,ABI1,11418237;12672821;15174125;17101133;18689816;8943360;9010225;9593709,HPRD;MINT;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,ABL1,10964922;11781820;12522270;15174125;17192257;18689816;19084081;1956339;8438166,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE;SWISSPROT
TK,ABL,ABL1,ABL2,12569093;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,ACAP2,17981841,NETWORKIN
TK,ABL,ABL1,ANXA1,15174125;2457390,PHOSPHOELM;PHOSPHOSITE
TK,ABL,ABL1,APBB1,11279131;15031292;15174125;18689816,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,APP,11279131;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,BCR,10405761;11780146;12124177;12522270;15174125;16912036;18689816;8955135;9178913;9407116;9467953,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,BTK,11598012;12445832;12573241;15174125;18689816;8629002;8630736,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,CASP9,15174125;15657060;18689816,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,CAT,12777400;15174125,PHOSPHOELM;PHOSPHOSITE
TK,ABL,ABL1,CAV1,11075810;12531427;15174125;16151024;18689816,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,CBL,10829062;11997497;12475393;12522270;12604776;15174125;15556646;18689816;9102067;9525940,HPRD;MINT;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,CD19,11120811;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,CDK5,10896159;11113134;14757045;15174125;18689816;19084081;9038181,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE;SAVI;SWISSPROT
TK,ABL,ABL1,CDKN1B,15174125;17254966,HPRD;PHOSPHOSITE
TK,ABL,ABL1,CRK,11380621;11956190;12198159;15174125;17981841;18689816;7700361;7926767;8194526;8875975;8978305;9480911;9480991;9642287,HPRD;NETWORKIN;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,CRKL,15174125;18689816;7493940;8978305;9710592,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,DAB1,15174125;17981841,NETWORKIN;PHOSPHOSITE
TK,ABL,ABL1,DOK1,10567556;12777393;15148308;15174125;17981841;18689816;9008161,HPRD;NETWORKIN;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE;SAVI
TK,ABL,ABL1,EGFR,15174125;16273093;18689816,MINT;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,GPX1,12893824;15174125;18689816,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,JAK2,11593427;15143187;15174125;18689816;9111318,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,JUN,10637231;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,LASP1,15174125;17981841,NETWORKIN;PHOSPHOSITE
TK,ABL,ABL1,MDM2,12110584;14757045;15174125;16702947;18689816,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,MUC1,14521915;16888623;7664271,HPRD;MINT;PHOSPHOELM
TK,ABL,ABL1,NFKBIA,14757045;15174125,PHOSPHOELM;PHOSPHOSITE
TK,ABL,ABL1,PKP4,17981841,NETWORKIN
TK,ABL,ABL1,PLSCR1,11390389;12871937;15174125;18689816,HPRD;MINT;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,PLSCR4,14757045,PHOSPHOELM
TK,ABL,ABL1,PRKD1,12505989;12637538;15174125;18689816,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,PSTPIP1,11163214;18689816,HPRD;PHOSPHOELM;PHOSPHOPOINT
TK,ABL,ABL1,PTPN6,10488096;10574931;12468540;18689816;7512963;8114715;8692915,HPRD;PHOSPHOELM;PHOSPHOPOINT
TK,ABL,ABL1,RAD51,10212258;11684015;15174125;18689816;9461559,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,RAD52,12379650;14757045;15174125;18689816,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,RAD9A,11971963;15174125;18689816,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,RB1,15174125;18689816;7828850;8242749,HPRD;MINT;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,RIN1,15174125;15886098;17981841;18689816;9144171,HPRD;MINT;NETWORKIN;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,ROBO1,10892742;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,SORBS1,11374898;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
TK,ABL,ABL1,TOP1,15174125;15448168,PHOSPHOELM;PHOSPHOSITE
